congress_num,election_year,state,st_abbrev,name
116,2018,Connecticut,CT,5. Jahana Hayes (D)
116,2018,Delaware,DE,0. Lisa Blunt Rochester (D)
116,2018,Florida,FL,1. Matt Gaetz (R)
116,2018,Florida,FL,2. Neal Dunn (R)
116,2018,Florida,FL,3. Ted Yoho (R)
116,2018,Florida,FL,4. John Rutherford (R)
116,2018,Florida,FL,5. Al Lawson (D)
116,2018,Florida,FL,6. Michael Waltz (R)
116,2018,Florida,FL,7. Stephanie Murphy (D)
116,2018,Florida,FL,8. Bill Posey (R)
116,2018,Florida,FL,9. Darren Soto (D)
116,2018,Florida,FL,10. Val Demings (D)
116,2018,Florida,FL,11. Daniel Webster (R)
116,2018,Florida,FL,12. Gus Bilirakis (R)
116,2018,Florida,FL,13. Charlie Crist (D)
116,2018,Florida,FL,14. Kathy Castor (D)
116,2018,Florida,FL,15. Ross Spano (R)
116,2018,Florida,FL,16. Vern Buchanan (R)
116,2018,Florida,FL,17. Greg Steube (R)
116,2018,Florida,FL,18. Brian Mast (R)
116,2018,Florida,FL,19. Francis Rooney (R)
116,2018,Florida,FL,20. Alcee Hastings (D)
116,2018,Florida,FL,21. Lois Frankel (D)
116,2018,Florida,FL,22. Ted Deutch (D)
116,2018,Florida,FL,23. Debbie Wasserman Schultz (D)
116,2018,Florida,FL,24. Frederica Wilson (D)
116,2018,Florida,FL,25. Mario Diaz-Balart (R)
116,2018,Florida,FL,26. Debbie Mucarsel-Powell (D)
116,2018,Florida,FL,27. Donna Shalala (D)
116,2018,Georgia,GA,1. Buddy Carter (R)
116,2018,Georgia,GA,2. Sanford Bishop (D)
116,2018,Georgia,GA,3. Drew Ferguson (R)
116,2018,Georgia,GA,4. Hank Johnson (D)
116,2018,Georgia,GA,5. John Lewis (D)
116,2018,Georgia,GA,6. Lucy McBath (D)
116,2018,Georgia,GA,7. Rob Woodall (R)
116,2018,Georgia,GA,8. Austin Scott (R)
116,2018,Georgia,GA,9. Doug Collins (R)
116,2018,Georgia,GA,10. Jody Hice (R)
116,2018,Georgia,GA,11. Barry Loudermilk (R)
116,2018,Georgia,GA,12. Rick W. Allen (R)
116,2018,Georgia,GA,13. David Scott (D)
116,2018,Georgia,GA,14. Tom Graves (R)
116,2018,Hawaii,HI,1. Ed Case (D)
116,2018,Hawaii,HI,2. Tulsi Gabbard (D)
116,2018,Idaho,ID,1. Russ Fulcher (R)
116,2018,Idaho,ID,2. Mike Simpson (R)
116,2018,Illinois,IL,1. Bobby Rush (D)
116,2018,Illinois,IL,2. Robin Kelly (D)
116,2018,Illinois,IL,3. Dan Lipinski (D)
116,2018,Illinois,IL,4. Jesús García (D)
116,2018,Illinois,IL,5. Mike Quigley (D)
116,2018,Illinois,IL,6. Sean Casten (D)
116,2018,Illinois,IL,7. Danny K. Davis (D)
116,2018,Illinois,IL,8. Raja Krishnamoorthi (D)
116,2018,Illinois,IL,9. Jan Schakowsky (D)
116,2018,Illinois,IL,10. Brad Schneider (D)
116,2018,Illinois,IL,11. Bill Foster (D)
116,2018,Illinois,IL,12. Mike Bost (R)
116,2018,Illinois,IL,13. Rodney Davis (R)
116,2018,Illinois,IL,14. Lauren Underwood (D)
116,2018,Illinois,IL,15. John Shimkus (R)
116,2018,Illinois,IL,16. Adam Kinzinger (R)
116,2018,Illinois,IL,17. Cheri Bustos (D)
116,2018,Illinois,IL,18. Darin LaHood (R)
116,2018,Indiana,IN,1. Pete Visclosky (D)
116,2018,Indiana,IN,2. Jackie Walorski (R)
116,2018,Indiana,IN,3. Jim Banks (R)
116,2018,Indiana,IN,4. Jim Baird (R)
116,2018,Indiana,IN,5. Susan Brooks (R)
116,2018,Indiana,IN,6. Greg Pence (R)
116,2018,Indiana,IN,7. André Carson (D)
116,2018,Indiana,IN,8. Larry Bucshon (R)
116,2018,Indiana,IN,9. Trey Hollingsworth (R)
116,2018,Iowa,IA,1. Abby Finkenauer (D)
116,2018,Iowa,IA,2. Dave Loebsack (D)
116,2018,Iowa,IA,3. Cindy Axne (D)
116,2018,Iowa,IA,4. Steve King (R)
116,2018,Kansas,KS,1. Roger Marshall (R)
116,2018,Kansas,KS,2. Steve Watkins (R)
116,2018,Kansas,KS,3. Sharice Davids (D)
116,2018,Kansas,KS,4. Ron Estes (R)
116,2018,Kentucky,KY,1. James Comer (R)
116,2018,Kentucky,KY,2. Brett Guthrie (R)
116,2018,Kentucky,KY,3. John Yarmuth (D)
116,2018,Kentucky,KY,4. Thomas Massie (R)
116,2018,Kentucky,KY,5. Hal Rogers (R)
116,2018,Kentucky,KY,6. Andy Barr (R)
116,2018,Louisiana,LA,1. Steve Scalise (R)
116,2018,Louisiana,LA,2. Cedric Richmond (D)
116,2018,Louisiana,LA,3. Clay Higgins (R)
116,2018,Louisiana,LA,4. Mike Johnson (R)
116,2018,Louisiana,LA,5. Ralph Abraham (R)
116,2018,Louisiana,LA,6. Garret Graves (R)
116,2018,Maine,ME,1. Chellie Pingree (D)
116,2018,Maine,ME,2. Jared Golden (D)
116,2018,Maryland,MD,1. Andy Harris (R)
116,2018,Maryland,MD,2. Dutch Ruppersberger (D)
116,2018,Maryland,MD,3. John Sarbanes (D)
116,2018,Maryland,MD,4. Anthony G. Brown (D)
116,2018,Maryland,MD,5. Steny Hoyer (D)
116,2018,Maryland,MD,6. David Trone (D)
116,2018,Maryland,MD,7. Elijah Cummings (D)
116,2018,Maryland,MD,8. Jamie Raskin (D)
116,2018,Massachusetts,MA,1. Richard Neal (D)
116,2018,Massachusetts,MA,2. Jim McGovern (D)
116,2018,Massachusetts,MA,3. Lori Trahan (D)
116,2018,Massachusetts,MA,4. Joseph P. Kennedy III (D)
116,2018,Massachusetts,MA,5. Katherine Clark (D)
116,2018,Massachusetts,MA,6. Seth Moulton (D)
116,2018,Massachusetts,MA,7. Ayanna Pressley (D)
116,2018,Massachusetts,MA,8. Stephen F. Lynch (D)
116,2018,Massachusetts,MA,9. Bill Keating (D)
116,2018,Michigan,MI,1. Jack Bergman (R)
116,2018,Michigan,MI,2. Bill Huizenga (R)
116,2018,Michigan,MI,3. Justin Amash (R)
116,2018,Michigan,MI,4. John Moolenaar (R)
116,2018,Michigan,MI,5. Dan Kildee (D)
116,2018,Michigan,MI,6. Fred Upton (R)
116,2018,Michigan,MI,7. Tim Walberg (R)
116,2018,Michigan,MI,8. Elissa Slotkin (D)
116,2018,Michigan,MI,9. Andy Levin (D)
116,2018,Michigan,MI,10. Paul Mitchell (R)
116,2018,Michigan,MI,11. Haley Stevens (D)
116,2018,Michigan,MI,12. Debbie Dingell (D)
116,2018,Michigan,MI,13. Rashida Tlaib (D)
116,2018,Michigan,MI,14. Brenda Lawrence (D)
116,2018,Minnesota,MN,1. Jim Hagedorn (R)
116,2018,Minnesota,MN,2. Angie Craig (DFL)[c]
116,2018,Minnesota,MN,3. Dean Phillips (DFL)[c]
116,2018,Minnesota,MN,4. Betty McCollum (DFL)[c]
116,2018,Minnesota,MN,5. Ilhan Omar (DFL)[c]
116,2018,Minnesota,MN,6. Tom Emmer (R)
116,2018,Minnesota,MN,7. Collin Peterson (DFL)[c]
116,2018,Minnesota,MN,8. Pete Stauber (R)
116,2018,Mississippi,MS,1. Trent Kelly (R)
116,2018,Mississippi,MS,2. Bennie Thompson (D)
116,2018,Mississippi,MS,3. Michael Guest (R)
116,2018,Mississippi,MS,4. Steven Palazzo (R)
116,2018,Missouri,MO,1. Lacy Clay (D)
116,2018,Missouri,MO,2. Ann Wagner (R)
116,2018,Missouri,MO,3. Blaine Luetkemeyer (R)
116,2018,Missouri,MO,4. Vicky Hartzler (R)
116,2018,Missouri,MO,5. Emanuel Cleaver (D)
116,2018,Missouri,MO,6. Sam Graves (R)
116,2018,Missouri,MO,7. Billy Long (R)
116,2018,Missouri,MO,8. Jason Smith (R)
116,2018,Montana,MT,0. Greg Gianforte (R)
116,2018,Nebraska,NE,1. Jeff Fortenberry (R)
116,2018,Nebraska,NE,2. Don Bacon (R)
116,2018,Nebraska,NE,3. Adrian Smith (R)
116,2018,Nevada,NV,1. Dina Titus (D)
116,2018,Nevada,NV,2. Mark Amodei (R)
116,2018,Nevada,NV,3. Susie Lee (D)
116,2018,Nevada,NV,4. Steven Horsford (D)
116,2018,New Hampshire,NH,1. Chris Pappas (D)
116,2018,New Hampshire,NH,2. Ann McLane Kuster (D)
116,2018,New Jersey,NJ,1. Donald Norcross (D)
116,2018,New Jersey,NJ,2. Jeff Van Drew (D)
116,2018,New Jersey,NJ,3. Andy Kim (D)
116,2018,New Jersey,NJ,4. Christopher Smith (R)
116,2018,New Jersey,NJ,5. Josh Gottheimer (D)
116,2018,New Jersey,NJ,6. Frank Pallone (D)
116,2018,New Jersey,NJ,7. Tom Malinowski (D)
116,2018,New Jersey,NJ,8. Albio Sires (D)
116,2018,New Jersey,NJ,9. Bill Pascrell (D)
116,2018,New Jersey,NJ,10. Donald Payne Jr. (D)
116,2018,New Jersey,NJ,11. Mikie Sherrill (D)
116,2018,New Jersey,NJ,12. Bonnie Watson Coleman (D)
116,2018,New Mexico,NM,1. Deb Haaland (D)
116,2018,New Mexico,NM,2. Xochitl Torres Small (D)
116,2018,New Mexico,NM,3. Ben Ray Luján (D)
116,2018,New York,NY,1. Lee Zeldin (R)
116,2018,New York,NY,2. Peter T. King (R)
116,2018,New York,NY,3. Thomas Suozzi (D)
116,2018,New York,NY,4. Kathleen Rice (D)
116,2018,New York,NY,5. Gregory Meeks (D)
116,2018,New York,NY,6. Grace Meng (D)
116,2018,New York,NY,7. Nydia Velázquez (D)
116,2018,New York,NY,8. Hakeem Jeffries (D)
116,2018,New York,NY,9. Yvette Clarke (D)
116,2018,New York,NY,10. Jerrold Nadler (D)
116,2018,New York,NY,11. Max Rose (D)
116,2018,New York,NY,12. Carolyn Maloney (D)
116,2018,New York,NY,13. Adriano Espaillat (D)
116,2018,New York,NY,14. Alexandria Ocasio-Cortez (D)
116,2018,New York,NY,15. José E. Serrano (D)
116,2018,New York,NY,16. Eliot Engel (D)
116,2018,New York,NY,17. Nita Lowey (D)
116,2018,New York,NY,18. Sean Patrick Maloney (D)
116,2018,New York,NY,19. Antonio Delgado (D)
116,2018,New York,NY,20. Paul Tonko (D)
116,2018,New York,NY,21. Elise Stefanik (R)
116,2018,New York,NY,22. Anthony Brindisi (D)
116,2018,New York,NY,23. Tom Reed (R)
116,2018,New York,NY,24. John Katko (R)
116,2018,New York,NY,25. Joseph D. Morelle (D)
116,2018,New York,NY,26. Brian Higgins (D)
116,2018,New York,NY,27. Chris Collins (R)
116,2018,North Carolina,NC,1. G. K. Butterfield (D)
116,2018,North Carolina,NC,2. George Holding (R)
116,2018,North Carolina,NC,3. Walter B. Jones Jr. (R)
116,2018,North Carolina,NC,4. David Price (D)
116,2018,North Carolina,NC,5. Virginia Foxx (R)
116,2018,North Carolina,NC,6. Mark Walker (R)
116,2018,North Carolina,NC,7. David Rouzer (R)
116,2018,North Carolina,NC,8. Richard Hudson (R)
116,2018,North Carolina,NC,9. TBD[b]
116,2018,North Carolina,NC,10. Patrick McHenry (R)
116,2018,North Carolina,NC,11. Mark Meadows (R)
116,2018,North Carolina,NC,12. Alma Adams (D)
116,2018,North Carolina,NC,13. Ted Budd (R)
116,2018,North Dakota,ND,0. Kelly Armstrong (R)
116,2018,Ohio,OH,1. Steve Chabot (R)
116,2018,Ohio,OH,2. Brad Wenstrup (R)
116,2018,Ohio,OH,3. Joyce Beatty (D)
116,2018,Ohio,OH,4. Jim Jordan (R)
116,2018,Ohio,OH,5. Bob Latta (R)
116,2018,Ohio,OH,6. Bill Johnson (R)
116,2018,Ohio,OH,7. Bob Gibbs (R)
