st_abbrev,district,state_dist,party,total_receipt,total_disbursement,cash_on_hand_cop,debt_owed_by_committee,total_contribution,total_loan,offsets_to_operating_expenditure,other_receipts,operating_expenditure,total_loan_Repayment,total_contribution_refund,other_disbursements,net_contribution,net_operating_expenditure,cash_on_hand_bop,debt_owe_to_committee,Total_population,Male,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_59_years,60_to_64_years,65_to_74_years,75_to_84_years,85_years_and_over,One_race,White,Black_or_African_American,American_Indian_and_Alaska_Native,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Some_other_race,Hispanic_or_Latino_of_any_race,State_of_residence,Different_state1,Born_in_PR__US_Is_areas_or_abroad_to_US_parents,American,Arab,Czech,Danish,Dutch,English,French_except_Basque,French_Canadian,German,Greek,Hungarian,Irish,Italian,Lithuanian,Norwegian,Polish,Portuguese,Russian,ScotchIrish,Scottish,Slovak,Subsaharan_African,Swedish,Swiss,Ukrainian,Welsh,West_Indian_excluding_Hispanic_origin_groups,Civilian_veterans,Total_civilian_noninstitutionalized_population,With_a_disability1,Same_house,Same_county,Same_state,Abroad,Unemployed,Armed_Forces,Not_in_labor_force,Car__truck__or_van__drove_alone,Public_transportation_excluding_taxicab,Walked,Other_means,Worked_at_home,Mean_travel_time_to_work_minutes,Management__business__science__and_arts_occupations,Service_occupations,Sales_and_office_occupations,Natural_resources__construction__and_maintenance_occupations,Production__transportation__and_material_moving_occupations,Agriculture__forestry__fishing_and_hunting__and_mining,Construction1,Manufacturing1,Wholesale_trade1,Retail_trade1,Transportation_and_warehousing__and_utilities1,Information1,Finance_and_insurance__and_real_estate_and_rental_and_leasing,Prof__scientific__and_mngmnt__and_admin_and_waste_mngmnt_ser,Educational_services__and_health_care_and_social_assistance,Arts_Entmt_and_recreation_and_accommodation_and_food_services,Other_services__except_public_administration,Public_administration,Private_wage_and_salary_workers,Government_workers,Selfemployed_in_own_not_incorporated_business_workers,Unpaid_family_workers,Total_housing_units,Rental_vacancy_rate,Owneroccupied,Average_household_size_of_owneroccupied_unit,Average_household_size_of_renteroccupied_unit,Moved_in_2015_or_later,Moved_in_2010_to_2014,Moved_in_2000_to_2009,Moved_in_1990_to_1999,Moved_in_1980_to_1989,Moved_in_1979_and_earlier,Less_than_50_000,50_000_to_99_999,100_000_to_149_999a,150_000_to_199_999,200_000_to_299_999,300_000_to_499_999,500_000_to_999_999,1_000_000_or_more,Median_dollars1,Housing_units_with_a_mortgage,Median_dollars2,Median_dollars3,Occupied_units_paying_rent,Median_dollars4,No_rent_paid,Less_than_10_000,10_000_to_14_999,15_000_to_24_999,25_000_to_34_999,35_000_to_49_999,50_000_to_74_999,75_000_to_99_999,100_000_to_149_999b,150_000_to_199_000,200_000_or_more,With_private_health_insurance,With_public_coverage,No_health_insurance_coverage1,All_families,Less_than_9th_grade,9th_to_12th_grade__no_diploma,High_school_graduate_includes_equivalency,Some_college__no_degree,Associate_s_degree,Bachelor_s_degree,Graduate_or_professional_degree,Percent_high_school_graduate_or_higher,Percent_bachelor_s_degree_or_higher,Total_for_all_sectors2,Agriculture__forestry__fishing_and_hunting2,Mining__quarrying__and_oil_and_gas_extraction2,Utilities2,Construction3,Manufacturing3,Wholesale_trade3,Retail_trade3,Transportation_and_warehousing2,Information3,Finance_and_insurance2,Real_estate_and_rental_and_leasing2,Professional__scientific__and_technical_services2,Management_of_companies_and_enterprises2,Admin_and_support_and_waste_mngmt_and_remediation_services2,Educational_services2,Health_care_and_social_assistance2,Arts__entertainment__and_recreation2,Accommodation_and_food_services2,Other_services_except_public_administration2,Industries_not_classified2
TX,19,TX_19,REP,1214430,889344,581471,0,1189210,0,3470.13,0,463344,0,1000,425000,1188210,459874,256386,0,734202,372543,50133,46230,56810,57380,71043,104648,88975,80268,41798,37850,55076,32854,11137,717365,612852,45700,5875,11170,658,41110,270813,525571,134886,9709,42102,1586,2599,560,5733,42494,8497,1505,59991,685,1065,45079,7547,126,3468,4568,480,1422,9028,13627,0,6924,1954,421,421,1365,1475,38689,704323,97470,578650,78891,49280,3061,17178,3839,217137,266378,770,6994,5508,13301,17.7,107596,67582,75396,43960,37409,23500,23567,19914,8439,38287,16518,4001,18125,20367,88669,34128,18750,17678,253327,55866,22286,464,304337,9,157236,2.83,2.49,88390,55892,53673,27173,13993,17335,31368,40745,30792,20755,19663,10760,2479,674,109700,74466,1225,413,89453,836,9767,22322,12633,31488,29191,35702,44033,29167,33352,9683,8885,448400,216238,112623,11.8,39069,44537,133070,103218,29122,67842,35748,81.5,22.9,8611979,37639,545947,149487,676425,655382,656939,957417,443240,194249,562539,135454,353209,153957,259416,151491,1857610,41038,460486,319532,522
TX,2,TX_02,REP,1638260,1399230,239027,0,1612080,0,419.8,0,1361720,0,16804,20703,1595280,1361300,0,0,772262,386880,51543,47548,50169,48379,52740,120336,109310,103410,47924,48181,58853,25401,8468,744383,522695,93043,1809,61598,719,64519,247576,382863,205229,15448,34347,4560,5453,2358,4506,54893,20369,3298,73669,2188,1769,53171,19433,933,5067,9125,523,2945,8393,13783,337,4023,5873,875,1377,5090,4243,34575,767762,67395,634399,83531,19578,7922,17804,349,190686,314724,8861,9940,5515,21177,29.7,179082,56234,93573,34387,40457,16232,31669,45188,14175,37772,26737,4506,27991,61731,71157,34982,21990,9603,338439,38443,25850,1001,307492,10.3,178898,2.83,2.5,100609,66714,70176,24663,13125,6606,3891,7674,24416,38472,45698,38532,16391,3824,227400,115106,1742,645,100987,1164,2008,15021,6369,17443,22835,29588,46022,36117,50406,23240,34852,528903,184563,114187,7.9,35845,26173,97199,106714,40309,140583,75060,88.1,41.3,20509790,1070,956356,190510,2207909,2044088,1924873,1232508,384973,341999,1262532,395584,1745487,2696794,922464,487184,2075145,153134,805825,679823,1532
TX,20,TX_20,DEM,910815,821093,216955,0,897217,0,13598.3,0,622901,0,3577.18,194615,893640,609302,127232,0,806372,397015,58480,52554,54969,59537,74789,138702,106974,93468,45699,36353,48951,24411,11485,783592,678705,41029,4913,22528,1586,34831,562221,532273,135175,20019,21044,4391,2186,1115,2074,27108,11028,2362,49863,1237,901,31772,13916,435,2732,6937,797,1005,3842,5941,679,4840,2515,636,266,2026,1279,56292,795717,122658,677814,80140,16719,8459,22878,7747,219374,303913,8516,7265,5878,17616,25.2,126444,76664,97010,35160,45069,3361,31358,23615,8304,43635,18353,6565,36524,41883,82552,48317,17883,17997,309848,51954,18010,535,278511,9.7,140498,3.38,2.81,88935,53890,53362,26831,12183,18876,9504,35198,26474,31322,26531,10040,1200,229,147900,85814,1312,436,110088,934,3491,20569,13557,29308,24773,36207,48376,31701,32695,10073,6818,491033,243894,134138,14.1,38867,47859,135226,115595,44185,80895,43416,82.9,24.6,10903244,NULL,19107,2014,414182,402644,368678,1138858,116944,231326,2706283,224928,1353217,790211,721525,183156,1371457,75578,565957,216475,198
TX,21,TX_21,REP,1694650,1223210,471442,0,1692830,0,0,0,1216210,0,7000,0,1685830,1216210,0,0,809322,397834,46267,44169,45081,50292,62411,124977,101390,98295,51403,52277,80602,35345,16813,782717,692055,31383,3922,29358,499,25500,245140,471197,236111,17143,33906,4452,6626,3277,7404,81976,22655,3560,141985,1109,1752,72901,25042,1081,7903,16139,1286,3868,14797,19320,519,3787,7635,1395,1112,6345,1929,60133,801014,90503,645697,80965,40314,7585,14958,3148,226214,326101,7208,11257,6760,32312,25.9,193257,66036,101782,31385,27444,7519,28607,25968,9960,43855,16926,12095,34857,58945,92507,49342,21964,17359,324221,58248,36777,658,358577,9.6,189149,2.69,2.25,119705,75084,67597,30978,12609,9127,5658,9610,12368,23036,51379,55535,24983,6580,285600,116829,1821,623,121090,1137,4861,17847,8712,22764,24908,39672,50464,41508,53559,26120,29546,609249,200711,93760,6,14729,19988,102894,124409,37744,162515,98823,93.8,46.6,22291466,1855,88652,99860,1620234,630139,1164898,1300388,385835,1293841,2332202,570013,4102941,1350104,1188772,519521,3504650,191080,1254034,690873,1574
TX,22,TX_22,REP,1444840,1666600,236083,0,1441470,0,1724.89,1649.5,1609460,0,1650,55497.1,1439820,1607730,457844,0,897080,442524,66920,66846,71440,65682,52837,112496,137272,125739,49939,53900,60569,23868,9572,872636,549421,118698,2090,172616,0,29811,229193,448279,201256,18215,35089,10241,8049,1418,5188,44693,22254,1951,83338,1139,1690,45109,16974,264,6267,10974,3134,3508,8489,12878,864,29026,4663,829,1059,3204,3340,37434,890847,67813,753369,67351,42662,11270,26024,538,225319,335182,4930,2673,5692,26017,32.1,222569,47460,96062,24450,35797,19940,22403,42364,16864,43088,19968,8924,29612,54197,104307,32187,19851,12633,349746,49179,26526,887,309113,9.5,210386,3.24,2.77,91928,74061,76393,25800,11027,6330,5349,8318,18099,30396,67390,63056,15819,1959,266100,139135,2066,772,72066,1241,3087,11119,4705,16048,13450,25985,45822,31766,65015,31152,40477,675982,178792,98600,6.5,20576,27535,92266,111228,51670,165234,104846,91.6,47.1,8471480,2819,285026,93499,677489,691393,480451,1032962,133764,184906,502343,125207,846629,359137,415180,95286,1593276,89001,591398,270779,935
TX,23,TX_23,REP,4755680,4383790,402032,0,3318260,0,2497.85,0,4208010,0,8457.43,124231,3309800,4205510,30146.4,0,769276,391212,58160,63053,60164,61535,51126,107592,97960,96573,38467,39175,57310,27855,10306,751446,631195,26870,5703,9884,0,77794,541032,503394,122101,17764,17335,1484,2264,571,3268,23001,7345,1132,48599,814,594,28257,10985,305,2256,5705,348,879,2812,4799,13,2922,2010,325,475,1136,1437,39799,746488,108618,658434,56107,19212,11105,17993,5093,232580,257110,2330,3848,8172,13432,25.9,93512,66352,74642,41912,44512,18868,29451,17872,8352,40505,18909,4763,19986,26156,75730,29498,13253,17587,248136,51080,21577,137,266445,7.6,163466,3.38,2.98,60920,50630,56149,29347,15904,16945,25463,43688,25774,19613,20280,20423,6746,1479,117700,80574,1342,388,60281,833,6148,17711,14295,23904,24574,33705,39956,24840,29356,9526,12028,418407,250764,142894,15.1,62064,49691,131585,94110,31414,73665,32709,76.5,22.4,6926206,5183,623626,64371,1675323,517587,258083,688277,475762,76934,326742,107249,215142,150272,298567,39425,744984,77035,400833,179770,1041
TX,24,TX_24,REP,1181340,810853,1752600,0,1093110,0,0,88230.1,629206,0,5550,176097,1087560,629206,1382300,0,800103,394796,55752,51708,54770,47730,44816,134801,123224,111637,52520,42984,50202,21839,8120,774029,511962,101061,5044,113463,2386,40113,195951,361594,228483,13245,40959,9931,5448,1480,7111,59762,14487,2484,72861,2105,1146,59442,24085,660,4519,11401,1147,3475,8183,14017,1624,22332,5551,1581,1001,3588,5060,35105,797499,59710,635782,84577,37790,9953,17828,337,162967,358194,5327,6625,6098,25881,24.9,206016,59572,113915,27564,39716,2143,24887,34700,18008,51332,32713,12946,56154,67114,73266,46779,18351,8390,388304,32571,25158,750,327143,5.7,148714,2.86,2.33,130438,73512,57966,28197,10216,7879,2130,4641,16272,20451,37156,43022,21414,3628,281700,101235,1910,704,157537,1160,1957,9705,5996,17638,23012,42378,56642,41051,54288,25016,32482,576782,159299,112634,5.1,22972,24533,102225,109632,33438,161339,91188,91.3,46.3,43696056,1293,200796,258713,2383273,1598000,3671869,1589550,3508324,3327149,4771567,1028682,6000315,6091528,3697713,420671,2596874,321777,1376205,849922,1835
TX,25,TX_25,REP,1537350,1436300,1020450,0,812504,0,0,8979.31,1411100,0,13050,9350,799454,1411100,919400,0,789825,390942,51596,51917,57885,57976,52463,106855,105568,104733,51045,40815,65889,31797,11286,762271,658522,53321,5109,25787,2003,17529,144480,447323,270150,16035,100360,4058,7989,2521,7307,64590,19195,2111,105762,1652,1830,68787,20771,615,6577,10211,1816,6188,13122,17936,677,4483,6328,1856,644,4160,1644,56087,763008,84539,661864,53139,36108,5306,16348,10290,230728,283928,3985,7026,6811,31895,26.9,163589,48637,74062,31951,41834,8720,24695,28128,8908,40793,12970,7725,24302,49947,83088,30098,18181,22518,273952,56463,28913,745,315247,7.8,189484,2.91,2.56,89728,63919,67204,27463,11850,9461,10097,23422,23593,22209,28300,44394,29313,8156,248600,115957,1753,556,76173,1100,3968,10684,8537,20205,22729,29078,46933,34744,46269,21350,29096,582221,189035,78112,6.9,16167,28945,116678,112298,40080,128004,75816,91.3,39.3,11603584,3166,220676,168929,748596,717183,1064439,832134,172480,813839,990777,359877,1414435,252564,538166,197041,1981279,155917,534395,436099,1592
TX,26,TX_26,REP,1573390,1562600,488894,0,1552730,0,4651.78,8.04,1440230,0,6600,115775,1546130,1435580,478105,0,879237,433178,55093,65697,67972,65635,53519,125142,131597,130064,50833,43769,57431,24843,7642,848359,682926,69384,3318,68383,970,23378,156791,430450,315147,15334,47210,9039,4805,4229,10558,76394,20106,2801,114421,2009,2701,78477,29946,427,8320,17167,2402,4068,14991,20169,354,13855,7891,2046,1046,5507,1809,48176,875124,71357,711738,74292,53255,6856,18847,542,193816,371370,2966,5539,5531,37451,29.5,221461,61212,113510,27357,40333,3868,24251,36284,16605,52787,31999,13258,49106,59247,97891,41079,21908,15590,383692,57080,22574,527,310402,5.1,211575,3.06,2.61,106307,74963,78446,24475,7897,3924,7114,6060,15154,27568,64876,66365,22461,1977,276500,158340,1905,718,82185,1225,2252,9232,5712,12724,18148,28018,46395,42202,60729,37786,35066,702670,154524,86844,3.8,17983,22598,98465,123659,49470,172391,86755,92.9,45.4,10704670,3694,39213,49652,743247,848770,852849,993424,786621,309736,1752321,212526,760143,419083,688843,96559,1201280,93905,544875,306655,1274
TX,27,TX_27,REP,668085,502510,165575,69038.6,668034,0,50.77,0,496710,0,5800,0,662234,496659,0,0,740277,365057,50490,52237,49888,52840,47558,97038,90874,87849,48082,45913,67862,35993,13653,726725,635866,38993,3087,11616,504,36659,392652,558382,113745,8759,20272,891,24209,833,5265,38156,9800,1626,93841,841,883,47211,9376,0,3584,6413,262,1413,6051,8524,86,5917,2677,429,229,1956,2166,53664,729278,106159,632169,59136,27527,2469,18454,1793,222071,272488,2759,3791,3818,12625,21.8,97350,65100,75434,49267,47791,12733,35462,32249,9421,37613,16123,3516,17949,24149,79942,30162,16829,18794,259622,50336,24549,435,320099,10.2,168175,2.83,2.62,74076,61455,58996,29899,17079,21448,19787,36767,34614,32153,25982,14067,3733,1072,138800,79217,1373,447,88561,911,6217,18255,14572,30388,24671,37063,45317,30180,34288,16549,11670,432788,242774,128897,11.3,38472,48327,149556,113613,37448,66462,33386,82.2,20.5,10179806,8575,476092,306891,1149331,1593628,607367,986847,378806,136776,338276,227472,670610,117640,493145,66224,1736053,54859,518128,312766,320
TX,28,TX_28,DEM,1544130,1089440,2532470,0,1535000,0,60.76,9070.94,617116,0,2300,470023,1532700,617055,2077780,0,753502,367866,65962,63157,63169,61978,56249,97546,96945,82486,37425,39832,53552,26020,9181,739235,657044,35603,1678,11388,322,33200,582693,478782,90078,17834,14543,955,1703,173,1885,13109,5441,563,35222,566,206,22048,6070,197,2322,7388,686,1029,2663,2511,179,2052,724,352,9,780,1104,37430,746829,105756,656899,58378,11491,5277,20841,1703,224337,241735,1595,3272,5049,11815,25,84830,66596,76071,34632,39537,10660,21714,13874,9264,41764,30060,3249,13459,24373,75129,26940,13963,17217,227840,47091,26090,645,246571,8.9,150299,3.49,3.34,53036,44828,61448,30052,16120,11539,22905,36014,32975,27195,19348,9018,2065,779,121600,72779,1248,400,60929,818,5795,19329,12898,27419,25722,29577,35965,25644,25493,8374,6602,344609,270278,187766,20.2,71647,49770,132063,79873,28974,56162,24498,72.6,18.2,4949980,8114,385795,45025,292225,158189,269290,731949,789414,59652,228800,98710,152815,37791,194891,56159,977918,31940,297460,133624,219
TX,29,TX_29,DEM,1145130,836992,308136,50000,1044670,100000,294.37,162.95,781217,50000,5775,0,1038900,780922,0,0,761833,386947,67753,61705,67418,64620,55802,113775,102507,96422,41675,30503,36036,17555,6062,750870,596785,90376,3079,10633,100,49897,590069,448331,60504,8230,21393,477,744,203,1887,9626,3954,1288,10939,448,216,14117,3641,36,376,1485,246,279,1180,1578,0,3826,612,28,0,123,716,16370,760688,62373,641256,89838,9010,5475,25823,101,198702,250862,6516,4601,8928,7893,29.2,58193,66203,67991,69757,65727,5711,58759,33936,10819,35817,24755,2869,13290,32056,49231,32964,20507,7157,277174,25012,24997,688,248694,6.7,116403,3.61,3.12,68393,54016,50731,27508,11883,12563,12121,38453,37025,15351,8526,3878,846,203,108000,59005,1179,416,105499,865,3192,19920,12830,31063,30702,33522,44498,23200,19817,6523,3019,286662,270021,231384,22,96924,70242,131005,75740,22742,33708,14174,62.4,10.8,10136622,NULL,208915,132424,1624003,1968781,887097,682096,1334320,100035,212411,165692,856334,256344,587346,46523,384606,12470,334200,342847,150
TX,3,TX_03,REP,4289770,2532940,1756830,2134380,1289770,3000000,0,0,1527740,865615,19582,120000,1270190,1527740,0,0,870763,427505,52842,64589,67845,63070,48799,108126,139858,133160,55171,42426,60737,26693,7447,841402,596600,85527,3767,136528,598,18382,130418,368569,294743,15600,84641,13208,4986,2030,7809,66541,18364,3795,103742,1208,2339,65489,25606,1446,7935,15879,1645,6667,9065,16899,938,12659,7365,1457,1446,4999,1639,37298,868342,59700,722385,60140,40183,11677,17313,394,194352,365025,6420,3556,6635,45808,28.9,249638,54579,108706,22455,23132,3011,23546,35793,13456,54284,15766,17446,53069,83424,89020,37751,20340,11604,387553,41515,29034,408,330211,7.5,193042,3.03,2.46,117759,70836,75443,31381,8017,4794,3181,2561,7055,11612,53449,85901,26150,3133,334400,135117,2110,817,113373,1342,1815,11081,5472,14530,18082,26311,44233,41926,63667,37914,45014,696067,138630,92026,4.7,15952,17609,77784,110659,42085,196693,112836,94.1,54,23713657,219,54754,58476,1045560,1228587,1690971,1430548,280484,1882946,3781039,418020,4190575,2509251,1158009,230936,2402234,116106,798910,435260,772
TX,30,TX_30,DEM,469131,246617,309337,0,469131,0,0,0,236617,0,0,10000,469131,236617,86823,0,774443,373537,56869,58186,63331,54606,59166,120822,104624,93262,45452,39860,49270,22568,6427,757930,365513,333593,1332,19410,292,37790,295902,499571,137861,6417,29553,1532,977,862,2089,16046,5501,490,21982,481,284,15261,4831,88,1702,2938,487,1494,3203,4646,94,10440,1503,383,444,842,1926,29174,763532,93085,671592,59313,19187,3081,22530,295,208475,281988,11298,7108,4863,10108,30.6,102459,63344,90790,43371,53534,1839,35609,28944,10049,39970,30571,6485,27793,40431,69671,32466,16378,13292,293145,44040,15910,403,293916,5.9,133558,3.19,2.44,98583,58762,56405,27278,11416,16238,9681,33568,33341,29398,16380,7835,2295,1060,134500,88671,1307,447,131645,967,3479,29188,14040,28425,25757,36988,52481,34685,27903,10892,8323,395549,264793,151307,15.5,48277,55390,139846,109613,28873,66472,33814,78.5,20.8,22452975,412,78207,304036,792436,1129363,1030062,994458,1891341,1271995,2730062,786925,3713044,1743308,766889,291432,3422501,287242,748563,469154,1545
TX,31,TX_31,REP,1664830,1515260,552985,0,1662320,0,2510.14,0,1408960,0,20500,85797.4,1641820,1406450,403410,0,853799,421406,60520,59394,67254,59830,56799,126198,126715,108239,46212,41480,62613,27441,11104,814020,639222,97883,3786,44301,2040,26788,210824,422447,311399,27557,62488,2845,11704,2638,8104,70042,23434,3994,114687,2414,1845,67814,24275,1181,7477,13003,2224,3404,13527,18448,496,7450,9406,2221,864,7790,3150,79332,836328,97048,680129,80031,42687,7781,18936,11959,218703,324481,2519,5412,5005,28608,26.2,172873,61487,101193,32153,35158,2995,31408,34707,9376,50063,16263,8945,27476,50365,91902,33510,19554,26300,315213,65940,21364,347,316673,9.1,181636,3.06,2.64,109101,71630,67078,25403,8387,7169,5987,14619,22104,29333,53096,46246,9509,742,234700,126072,1621,594,104271,1089,2861,12963,7672,19027,21807,36266,56942,40494,53094,19873,20630,636963,212022,81233,6.5,18990,22291,126346,132074,51562,132241,66498,92.5,36.1,10767237,215,46078,133305,822260,658002,526759,1085202,189373,414544,717475,189691,1955148,210575,396579,136825,2369046,87847,514524,313323,466
TX,32,TX_32,DEM,4955160,3569330,1385830,44978.5,4497540,25000,1572.34,0,3534260,0,35047.5,25,4462490,3532690,0,0,763452,377440,53596,41715,48574,47878,49313,126824,101403,101424,52705,40694,61044,25530,12752,738316,520153,112612,2326,64109,259,38857,194623,382720,201144,9773,39966,9166,4033,1449,7285,60947,14868,2397,74508,3951,1026,57964,16333,901,4833,9974,1132,4210,11954,14183,291,37670,4227,1668,712,5367,3246,32416,761184,68606,625416,76739,23405,8944,19922,117,182017,316523,10029,6778,4371,27667,26.9,176170,63845,95657,35285,36877,2146,29187,32969,11147,47779,18826,9628,42257,65387,79257,37962,23972,7317,342468,34019,30789,558,319208,5.8,165379,2.73,2.42,104861,67271,62919,32796,11928,12073,2492,8352,20525,28052,41342,30509,20543,13564,245800,109291,1775,755,124000,1151,2469,11704,7354,23000,23489,36053,51839,36444,46695,21675,33595,505447,188363,128261,8.1,33985,31754,88272,108084,34720,142848,82713,87.4,43.2,19420884,447,277309,27004,883578,2102529,857545,1238064,159023,1199319,2294700,722131,2627830,1133090,946461,474059,3066041,128301,773003,507675,2775
TX,33,TX_33,DEM,1381100,1271220,484231,0,1381100,0,0,0,1190420,0,4300,76500,1376800,1190420,369356,0,753565,381642,66182,62812,63875,60533,61920,115296,99579,90368,37060,31440,40998,18193,5309,741901,485868,113850,3501,15611,485,122586,522176,411700,81590,9485,21703,2226,624,72,1324,12084,2933,420,14245,443,134,11749,1714,136,617,1215,149,117,1437,2574,0,12363,553,94,78,743,201,19361,749716,74903,644554,66505,14856,6219,22635,375,186311,258960,5161,3744,6893,6452,27.8,53464,72270,72258,74035,68088,1605,67499,39025,11523,38691,22622,3455,15031,32111,46593,37459,19182,5319,293997,21882,23639,597,250352,9.2,105482,3.55,3.17,68273,52700,51573,25495,10938,14416,11324,42241,25306,14608,6909,3479,694,921,99000,49728,1135,422,113378,882,4535,16165,12000,31138,30541,37943,46962,24501,16803,4534,2808,296022,251572,233743,18,109682,70004,130648,68473,15941,31985,11510,59,9.9,12634020,NULL,26831,85223,1243752,2596765,2051986,771961,1107137,225071,216972,223529,629701,268439,956511,128673,994304,348926,403837,327055,545
TX,34,TX_34,DEM,1043990,656219,617712,0,1040810,0,3175.77,0,513544,0,26200.2,116475,1014610,510368,229944,0,727595,362711,59815,55595,65025,61005,57075,89396,92877,79861,34767,37146,53631,31598,9804,718386,667801,8248,2006,4504,0,35827,618721,513317,67580,9367,13689,478,1669,316,1235,12953,4810,977,26699,628,29,15642,4944,159,1643,3857,714,585,2182,3282,49,1646,1595,109,117,610,251,24859,712801,94113,656698,43012,13305,2096,17209,511,239888,232007,210,5576,5549,11616,22,77286,66781,63998,34882,34756,11985,23408,15155,4905,34426,14847,2095,10697,21323,85938,23865,13726,15333,199920,48823,28509,451,261398,7.4,140361,3.34,3.35,52183,42731,59113,25856,15125,17049,38054,47087,23630,13647,10713,4838,1782,610,84000,53057,1108,374,65075,699,6621,25944,18278,30060,25393,27204,34825,22612,19719,4420,3602,290536,278812,185402,23.1,73809,57579,123688,76279,28500,48991,20234,69.4,16.1,4849093,9981,215401,63357,194455,289459,205878,736883,287709,112075,206087,81527,165483,28332,249252,119607,1421100,21423,312426,128358,300
TX,35,TX_35,DEM,955339,399471,4237650,0,903392,0,0,51947,134236,0,5200,260035,898192,134236,3681780,0,830041,418971,58235,58498,61593,61731,66344,144192,120573,96011,46765,34521,51560,22216,7802,801712,575889,85700,5236,15628,794,118465,498598,538655,152344,16792,22694,2932,3831,1009,3412,25855,10975,616,55920,2312,453,36203,12755,564,3805,5459,238,1119,6384,7252,497,6115,2827,396,729,2077,1235,43981,818827,108735,682570,79033,36448,7114,22119,1436,210655,310029,11930,7018,7801,16278,26,121347,88059,101626,46582,48088,3652,42508,20976,10139,46633,20727,9484,25106,48516,90018,51147,17692,19104,318343,59079,27715,565,307335,6.4,146050,3.03,2.71,103977,65235,57939,24873,13129,16894,12478,30082,27437,31942,32454,8988,1852,817,154000,90990,1280,442,129415,997,6582,26390,12500,31595,30735,44595,55108,31697,32936,9267,7224,478898,259272,145132,15.2,47591,51551,150951,116866,35364,82009,39308,81.1,23.2,12704327,1319,29240,22303,1124428,1083361,1346311,1167864,869490,905146,534549,229315,947569,672367,565164,154625,1445768,283521,935963,385777,247
TX,36,TX_36,REP,1118350,702439,970093,0,1115020,0,3326.61,0,587989,0,17650,96800,1097370,584662,554185,0,742474,369563,48014,48958,50457,51332,44104,102435,93643,99923,51973,45248,67311,29559,9517,731302,617008,71157,5293,14171,348,23325,184252,508522,149497,9411,73984,1794,6133,1645,7105,41718,35586,8295,64228,1449,607,57149,12733,333,2353,8514,433,2367,8292,11441,140,3583,5917,416,342,3205,4737,44121,724709,103887,629560,56884,38449,1935,26811,540,236928,266359,1258,3498,4992,11374,28.3,96853,50331,75446,43762,53738,7556,38858,40824,8854,34744,24470,2410,13008,29297,61646,28875,17702,11886,264173,38004,17791,162,307859,9.4,185260,2.92,2.64,69121,61417,61537,31147,16211,15239,24962,38636,37879,30866,31591,16595,3806,925,137000,91342,1368,442,61883,892,7529,17741,12042,24553,22755,34721,42874,29786,40209,15252,14739,433451,228769,132763,10.6,30865,50871,159552,128437,41948,61286,26650,83.6,17.6,13545464,26352,194334,107230,1825801,3578240,656530,748821,1036895,112199,236837,202652,1427355,167023,604101,97663,1073647,32977,381947,1034015,845
TX,4,TX_04,REP,1023240,790663,361189,0,1011890,0,4764.1,208.53,471168,294250,21200,4044.92,990685,466404,128612,0,747188,366929,46877,51707,54277,49803,45939,87212,91532,98879,52344,44617,72483,37694,13824,727854,607184,76068,6609,8206,391,29396,107817,500131,189122,7641,162280,530,3596,468,8618,46594,12527,1475,70956,461,2054,67954,12942,353,3254,5743,555,2014,6406,11870,238,4099,3808,466,344,2578,1709,50628,733086,108174,642203,44736,36421,2820,17246,134,234768,270337,1223,3257,4896,16615,25.8,109883,56354,77995,37441,51474,6932,30431,36970,9880,40866,19614,5537,19352,27526,78112,25230,18116,14581,259413,47419,25778,537,311327,8.6,187726,2.82,2.62,74298,62188,71110,29388,14288,12885,28012,38204,28710,28291,32327,24428,6742,1012,148000,98251,1380,421,70108,784,6323,18805,12227,27884,27368,33257,44648,36370,37728,15577,10293,471655,234377,110530,9.6,20969,39959,158426,122044,41509,77246,38432,87.8,23.2,7130482,7207,39722,111873,456811,1923729,326585,872545,258744,93872,320886,74770,279539,117429,240372,36661,1359871,32873,354457,221941,595
TX,5,TX_05,REP,859489,706256,153233,202879,859489,0,0,0,706256,0,0,0,859489,706256,0,0,769579,386656,54681,56250,62782,51360,48438,101307,102959,100960,46239,43558,58043,31800,11202,753676,595147,111031,4052,19132,417,23897,225221,500150,149936,6536,85048,1525,2785,1078,5691,51481,11054,1988,52911,1001,877,52820,8731,211,2391,3794,219,1100,9187,10356,404,13582,2955,675,134,2934,2193,39077,745455,90712,642592,70502,31791,3565,16779,395,227718,268694,3700,2821,2586,13144,31.2,98526,61724,81428,49980,47743,8870,40479,31809,8435,43689,19812,6292,19486,35902,69591,27261,17970,9805,276679,38877,23169,676,295080,8.9,169837,2.95,2.75,76330,63043,66489,29082,12465,11021,21737,34329,29010,30422,26305,18808,8187,1039,149700,93224,1336,453,84072,902,4521,16590,12110,26850,29206,35623,54380,32210,30429,12067,8965,430936,239861,147669,11,45653,56239,151694,110717,35098,62625,34042,79.5,19.5,6505181,6252,38617,62059,870053,1023270,494704,812562,549747,77189,190807,130453,271251,74872,269045,44540,945536,48427,313316,282155,326
